"rotten_tomatoes_link","movie_title","original_release_date","content_rating","tomatometer_status","tomatometer_rating","tomatometer_count","audience_status","audience_rating","audience_count","gender","num_of_gender","num_of_casts","gender_rato_percentage","release_year","rating"
"m/casualties_of_war","Casualties of War",1989-01-01,"R","Certified-Fresh",83,46,"Upright",75,21804,"Male",19,19,100,1989,"R"
"m/cat_chaser","Cat Chaser",1989-04-01,"R","Rotten",40,5,"Spilled",15,684,"Male",7,11,64,1989,"R"
"m/chances_are","Chances Are",1989-03-10,"PG","Fresh",67,30,"Upright",65,8954,"Male",12,18,67,1989,"PG"
"m/chattahoochee","Chattahoochee",1989-06-01,"R","Rotten",14,7,"Spilled",51,1529,"Male",20,24,83,1989,"R"
"m/1003972-checking_out","Checking Out",1989-04-21,"R","Rotten",20,5,"Spilled",18,129,"Male",13,19,68,1989,"R"
"m/cheetah","Cheetah",1989-08-18,"G","Rotten",50,8,"Spilled",57,1425,"Male",5,7,71,1989,"G"
"m/cookie","Cookie",1989-06-01,"R","Rotten",15,13,"Spilled",39,111,"Male",13,19,68,1989,"R"
"m/cousins","Cousins",1989-01-01,"PG-13","Rotten",50,8,"Upright",67,3622,"Male",21,43,49,1989,"PG-13"
"m/criminal_law","Criminal Law",1989-04-28,"R","Rotten",33,9,"Spilled",26,1023,"Male",6,8,75,1989,"R"
"m/1005090-cutting_class","Cutting Class",1989-07-01,"R","Rotten",25,8,"Spilled",22,3807,"Male",12,15,80,1989,"R"
"m/dad","Dad",1989-10-27,"PG","Fresh",60,10,"Upright",60,4768,"Male",15,23,65,1989,"PG"
"m/dead_bang","Dead Bang",1989-03-24,"R","Rotten",33,12,"Spilled",44,2417,"Male",19,22,86,1989,"R"
"m/dead_calm","Dead Calm",1989-04-07,"R","Fresh",83,29,"Upright",63,31360,"Male",5,6,83,1989,"R"
"m/dead_poets_society","Dead Poets Society",1989-06-02,"PG","Certified-Fresh",84,57,"Upright",92,307114,"Male",14,19,74,1989,"PG"
"m/deepstar-six","DeepStar Six",1989-12-31,"R","Rotten",9,11,"Spilled",24,559,"Male",6,8,75,1989,"R"
"m/disorganized_crime","Disorganized Crime",1989-04-14,"R","Rotten",50,6,"Spilled",57,1922,"Male",13,14,93,1989,"R"
"m/do_the_right_thing","Do the Right Thing",1989-06-14,"R","Certified-Fresh",93,96,"Upright",90,73719,"Male",21,26,81,1989,"R"
"m/dream_a_little_dream","Dream a Little Dream",1989-03-03,"PG-13","Rotten",0,10,"Upright",67,9444,"Male",7,13,54,1989,"PG-13"
"m/drugstore_cowboy","Drugstore Cowboy",1989-01-01,"R","Fresh",100,28,"Upright",85,22907,"Male",7,11,64,1989,"R"
"m/earth_girls_are_easy","Earth Girls Are Easy",1989-05-12,"PG","Fresh",68,34,"Spilled",42,41020,"Male",8,19,42,1989,"PG"
"m/enemies_a_love_story","Enemies, a Love Story",1989-01-01,"R","Fresh",85,13,"Spilled",52,1287,"Male",8,14,57,1989,"R"
"m/erik_the_viking_1989","Erik the Viking",1989-09-22,"PG-13","Rotten",47,17,"Spilled",58,6678,"Male",18,26,69,1989,"PG-13"
"m/family_business","Family Business",1989-12-15,"R","Rotten",38,16,"Spilled",27,7791,"Male",16,22,73,1989,"R"
"m/farewell_to_the_king","Farewell to the King",1989-03-03,"PG-13","Rotten",55,11,"Spilled",54,1382,"Male",10,12,83,1989,"PG-13"
"m/fat_man_and_little_boy","Fat Man and Little Boy",1989-10-20,"PG-13","Rotten",47,19,"Spilled",45,3503,"Male",20,24,83,1989,"PG-13"
"m/field_of_dreams","Field of Dreams",1989-04-21,"PG","Certified-Fresh",87,60,"Upright",86,192920,"Male",13,19,68,1989,"PG"
"m/fletch_lives","Fletch Lives",1989-03-17,"PG","Rotten",37,30,"Spilled",54,17406,"Male",17,22,77,1989,"PG"
"m/friday_the_13th_part_8_jason_takes_manhattan","Friday the 13th Part VIII - Jason Takes Manhattan",1989-01-01,"R","Rotten",8,25,"Spilled",27,62056,"Male",8,14,57,1989,"R"
"m/ghostbusters_2","Ghostbusters 2",1989-06-16,"PG","Rotten",54,39,"Upright",61,406948,"Male",26,33,79,1989,"PG"
"m/1008415-glory","Glory",1989-12-15,"R","Certified-Fresh",93,44,"Upright",93,60231,"Male",25,26,96,1989,"R"
"m/gross_anatomy","Gross Anatomy",1989-10-20,"PG-13","Rotten",30,10,"Spilled",53,5556,"Male",19,28,68,1989,"PG-13"
"m/halloween_5_the_revenge_of_michael_myers","Halloween 5: The Revenge of Michael Myers",1989-10-13,"R","Rotten",13,24,"Spilled",37,65731,"Male",11,15,73,1989,"R"
"m/harlem_nights","Harlem Nights",1989-11-17,"R","Rotten",21,34,"Upright",80,34453,"Male",24,28,86,1989,"R"
"m/1029042-henry_v","Henry V",1989-11-08,"PG-13","Certified-Fresh",100,40,"Upright",89,13465,"Male",26,29,90,1989,"PG-13"
"m/her_alibi","Her Alibi",1989-02-03,"PG","Rotten",17,23,"Spilled",44,6905,"Male",12,17,71,1989,"PG"
"m/homer_and_eddie","Homer & Eddie",1989-12-01,"R","Rotten",0,7,"Spilled",35,377,"Male",13,19,68,1989,"R"
