"show_id","type","title","release_year","rating","content_rating","tomatometer_status","tomatometer_rating","tomatometer_count","audience_status","audience_rating","audience_count","gender","num_of_gender","num_of_casts","gender_rato_percentage"
"s3639","Movie","Like Father",2018,"TV-MA","NR","Rotten",46,41,"Spilled",46,544,"Male",3,4,75
"s3740","TV Show","Love",2018,"TV-MA","NR","Rotten",39,92,"Spilled",38,3413,"Male",1,2,50
"s3908","TV Show","Maniac",2018,"TV-MA","NR","Rotten",53,74,"Spilled",44,12398,"Male",4,27,15
"s3908","TV Show","Maniac",2018,"TV-MA","R","Fresh",89,9,"Spilled",31,887,"Male",4,27,15
"s3908","TV Show","Maniac",2018,"TV-MA","R","Rotten",40,20,"Spilled",58,6799,"Male",4,27,15
"s3952","TV Show","Mars",2018,"TV-PG","NR","Fresh",86,7,"",NA,NA,"Male",2,4,50
"s4401","Movie","Nappily Ever After",2018,"TV-MA","NR","Fresh",71,14,"Upright",73,347,"Male",3,5,60
"s4464","Movie","Night Comes On",2018,"TV-MA","NR","Certified-Fresh",98,49,"Upright",79,393,"Male",2,2,100
"s4647","Movie","One Last Thing",2018,"TV-MA","R","Rotten",11,9,"Upright",61,21320,"Male",2,6,33
"s4710","Movie","Outside In",2018,"TV-MA","NR","Certified-Fresh",95,41,"Upright",77,339,"Male",2,6,33
"s4856","Movie","Piercing",2018,"R","R","Fresh",72,96,"Spilled",43,268,"Male",2,7,29
"s4979","Movie","Private Life",2018,"R","R","Certified-Fresh",94,104,"Upright",78,1000,"Male",3,7,43
"s5291","Movie","Roxanne Roxanne",2018,"TV-MA","NR","Fresh",70,30,"Upright",62,220,"Male",2,3,67
"s5504","Movie","Set It Up",2018,"TV-MA","NR","Certified-Fresh",92,59,"Upright",68,1302,"Male",4,7,57
"s5557","TV Show","She's Gotta Have It",2018,"TV-MA","R","Fresh",91,32,"Upright",73,6642,"Male",1,2,50
"s5573","TV Show","Shooter",2018,"TV-14","R","Rotten",47,149,"Upright",80,456528,"Male",3,5,60
"s5699","Movie","Solo: A Star Wars Story",2018,"PG-13","PG-13","Fresh",70,474,"Upright",64,43979,"Male",4,7,57
"s5755","Movie","Spider-Man: Into the Spider-Verse",2018,"PG","PG","Certified-Fresh",97,383,"Upright",93,20151,"Male",4,9,44
"s5812","Movie","Step Sisters",2018,"PG-13","PG-13","Rotten",22,9,"Spilled",46,168,"Male",2,8,25
"s5816","Movie","Steve Martin and Martin Short: An Evening You Will Forget for the Rest of Your Life",2018,"TV-14","NR","Fresh",100,10,"Upright",71,98,"Male",2,2,100
"s5942","Movie","Swiped",2018,"TV-14","NR","Rotten",17,6,"Spilled",59,1335,"Male",4,7,57
"s6073","Movie","The After Party",2018,"TV-MA","NR","Rotten",0,5,"Upright",87,393,"Male",3,5,60
"s6111","Movie","The Ballad of Buster Scruggs",2018,"R","R","Certified-Fresh",90,224,"Upright",77,3514,"Male",4,5,80
"s6219","Movie","The Christmas Chronicles",2018,"TV-PG","NR","Fresh",67,58,"Upright",77,1268,"Male",5,6,83
"s6236","Movie","The Competition",2018,"TV-14","NR","Rotten",17,6,"Spilled",53,139,"Male",2,6,33
"s6455","Movie","The Holiday Calendar",2018,"TV-G","NR","Rotten",33,6,"Spilled",35,101,"Male",2,5,40
"s6548","Movie","The Land of Steady Habits",2018,"TV-MA","NR","Certified-Fresh",83,41,"Spilled",47,315,"Male",6,9,67
"s6579","Movie","The Legacy of a Whitetail Deer Hunter",2018,"TV-14","NR","Rotten",30,23,"Spilled",42,136,"Male",3,4,75
"s6601","Movie","The Little Mermaid",2018,"PG","G","Certified-Fresh",93,71,"Upright",88,900315,"Male",2,7,29
"s6612","Movie","The Long Dumb Road",2018,"R","R","Fresh",75,28,"Spilled",51,182,"Male",2,7,29
