"name","score","year","votes","budget","gross","net_profit","runtime","gender","genre","genre_","rating_","director_","writer_","star_","country_","company_","female_indicator","title_unique_score","cpi","adj_gross","adj_budget"
"Personal Best",6.3,1982,2600,1.6e+07,5672311,-10327689,128,1,"Drama",7,8,2212,3412,1434,53,1951,1,24,1.1717580416751,6646576,18748129
"Dead Men Don't Wear Plaid",6.9,1982,21000,9e+06,18196170,9196170,88,2,"Comedy",5,6,348,554,2087,53,232,0,85,1.1717580416751,21321509,10545822
"Amityville II: The Possession",5.5,1982,11000,5e+06,12534817,7534817,104,2,"Horror",10,8,508,3982,899,31,763,0,1135,1.1717580416751,14687773,5858790
"Missing",7.7,1982,19000,9500000,1.4e+07,4500000,122,2,"Biography",4,6,487,749,858,53,1674,0,5,1.1717580416751,16404613,11131701
"Cannery Row",6.7,1982,3500,11300000,5301539,-5998461,120,2,"Comedy",5,6,617,2053,1641,53,544,0,4,1.1717580416751,6212121,13240866
"Tempest",6.5,1982,2200,1.3e+07,5005245,-7994755,140,2,"Comedy",5,6,1976,3075,1064,53,644,0,2,1.1717580416751,5864936,15232855
"Still of the Night",6.1,1982,4300,1e+07,5979947,-4020053,93,2,"Crime",6,6,2173,3340,1907,53,2033,0,1008,1.1717580416751,7007051,11717580
"Honkytonk Man",6.6,1982,8200,2e+06,4484991,2484991,122,2,"Comedy",5,6,471,713,401,53,1959,0,81,1.1717580416751,5255324,2343516
"Come Back to the 5 & Dime Jimmy Dean, Jimmy Dean",7.2,1982,4200,850000,840958,-9042,109,1,"Comedy",5,6,2170,1116,337,53,1805,1,712,1.1717580416751,985399,995994
"The Final Option",6.4,1982,3000,6e+06,2666873,-3333127,125,2,"Action",1,8,1022,1377,1331,48,1765,0,1134,1.1717580416751,3124930,7030548
"Trail of the Pink Panther",5,1982,9800,6e+06,9056073,3056073,96,2,"Comedy",5,6,256,419,1758,52,2033,0,978,1.1717580416751,10611526,7030548
"The Border",6.4,1982,6100,2.2e+07,6118683,-15881317,108,2,"Crime",6,8,2601,1020,859,53,814,0,1116,1.1717580416751,7169616,25778677
"Best Friends",5.5,1982,2700,1.5e+07,36821203,21821203,116,2,"Comedy",5,6,1907,4031,282,53,2079,0,27,1.1717580416751,43145541,17576371
"Lookin' to Get Out",5.1,1982,684,1.7e+07,946461,-16053539,105,2,"Comedy",5,8,967,58,1106,53,1374,0,145,1.1717580416751,1109023,19919887
"Barbarosa",6.4,1982,1500,1.1e+07,1736123,-9263877,90,2,"Western",15,6,833,4118,2311,53,1183,0,1,1.1717580416751,2034316,12889338
"The Soldier",5.3,1982,1100,4e+06,6328816,2328816,96,2,"Action",1,8,1077,1674,1234,53,1233,0,1119,1.1717580416751,7415841,4687032
"Wrong Is Right",5.7,1982,1800,1e+07,3583513,-6416487,117,2,"Comedy",5,8,2113,617,1987,53,644,0,31,1.1717580416751,4199010,11717580
"Jekyll and Hyde... Together Again",6.2,1982,1100,5e+06,3792188,-1207812,87,2,"Sci-Fi",13,8,1182,2861,1441,53,1623,0,158,1.1717580416751,4443527,5858790
"Forced Vengeance",5.6,1982,2900,5e+06,6660333,1660333,90,2,"Action",1,8,1072,1300,389,53,1460,0,6,1.1717580416751,7804299,5858790
"Night Crossing",6.5,1982,1300,1e+07,8e+06,-2e+06,107,2,"Drama",7,6,645,2020,1078,52,2077,0,46,1.1717580416751,9374064,11717580
"Things Are Tough All Over",6,1982,3100,7e+06,21134374,14134374,90,1,"Action",1,8,2521,632,2213,53,464,1,58,1.1717580416751,24764373,8202306
"Five Days One Summer",6.1,1982,1000,1.5e+07,199078,-14800922,108,2,"Drama",7,6,835,2695,1987,53,470,0,59,1.1717580416751,233271,17576371
"Yes, Giorgio",3.9,1982,653,1.9e+07,2279543,-16720457,110,2,"Comedy",5,6,828,254,1390,53,1460,0,2,1.1717580416751,2671073,22263403
"Scarface",8.3,1983,766000,2.5e+07,65884703,40884703,170,2,"Crime",6,8,295,2973,31,53,2042,0,1,1.20878009306089,79640117,30219502
"The Outsiders",7.1,1983,78000,1e+07,25697647,15697647,91,2,"Crime",6,6,807,2228,283,53,2132,0,1116,1.20878009306089,31062804,12087801
"Star Wars: Episode VI - Return of the Jedi",8.3,1983,973000,32500000,475106177,442606177,131,2,"Action",1,6,2130,2368,1444,53,1380,0,1045,1.20878009306089,574298889,39285353
"Risky Business",6.8,1983,83000,6200000,63541777,57341777,99,2,"Comedy",5,8,1962,3045,2190,53,1951,0,4,1.20878009306089,76808035,7494437
"National Lampoon's Vacation",7.4,1983,1e+05,1.5e+07,61399552,46399552,98,2,"Adventure",2,8,981,1996,338,53,1517,0,15,1.20878009306089,74218556,18131701
"Trading Places",7.5,1983,141000,1.5e+07,90404800,75404800,116,2,"Comedy",5,8,1307,3910,591,53,593,0,2,1.20878009306089,109279523,18131701
"Superman III",5,1983,66000,3.9e+07,59950623,20950623,125,2,"Action",1,6,2127,1845,385,15,786,0,20,1.20878009306089,72467120,47142424
"The Big Chill",7.2,1983,34000,8e+06,56399659,48399659,105,2,"Comedy",5,8,1539,2368,2188,53,644,0,1147,1.20878009306089,68174785,9670241
"Staying Alive",4.7,1983,15000,2.2e+07,64892670,42892670,93,2,"Drama",7,6,2479,2949,1095,53,1623,0,7,1.20878009306089,78440968,26593162
"Jaws 3-D",3.7,1983,41000,20500000,87987055,67487055,99,2,"Adventure",2,6,1231,3109,525,53,2042,0,4,1.20878009306089,106357001,24779992
"Flashdance",6.2,1983,50000,4e+06,92921203,88921203,95,1,"Drama",7,8,27,3882,974,53,1623,1,1,1.20878009306089,112321300,4835120
"WarGames",7.1,1983,93000,1.2e+07,79567667,67567667,114,2,"Action",1,6,1263,2370,1484,53,2033,0,1,1.20878009306089,96179812,14505361
"The Right Stuff",7.8,1983,57000,2.7e+07,21192315,-5807685,193,2,"Adventure",2,6,2058,3166,1937,53,1957,0,1123,1.20878009306089,25616848,32637063
"Krull",6.1,1983,31000,4.7e+07,16916617,-30083383,121,2,"Action",1,6,2044,3688,1232,52,644,0,1,1.20878009306089,20448470,56812664
"The Dead Zone",7.2,1983,65000,1e+07,20766616,10766616,103,2,"Drama",7,8,567,1802,387,53,763,0,1166,1.20878009306089,25102272,12087801
